tag_id,name,quantity,category,location,created_at,last_updated
FD29E2,123,8,,,2025-03-08T20:06:17.053000000Z,2025-03-08T20:52:17.030000000Z
A655A2,123,6,,,2025-03-08T20:07:02.541000000Z,2025-03-08T20:52:03.513000000Z
9BAA04,123456,2,,,2025-03-08T20:16:03.868000000Z,2025-03-08T20:16:08.537000000Z
8FAA04,123456123,1,,,2025-03-08T19:49:28.124000000Z,2025-03-08T19:49:28.124000000Z
1F5ED2,123456789,6,,,2025-03-08T19:45:34.625000000Z,2025-03-08T20:52:12.654000000Z
9D2704,123456789,2,,,2025-03-08T19:47:47.215000000Z,2025-03-08T19:47:53.057000000Z
9D1F04,123456789,4,,,2025-03-08T19:48:12.046000000Z,2025-03-08T20:51:55.574000000Z
9D1B04,123456789,4,,,2025-03-08T19:48:28.744000000Z,2025-03-08T20:51:51.374000000Z
92A904,123456789,1,,,2025-03-08T19:49:12.374000000Z,2025-03-08T19:49:12.374000000Z
9D2304,123456789,2,,,2025-03-08T20:06:01.688000000Z,2025-03-08T20:51:42.327000000Z
9D0704,1245678,1,,,2025-03-08T20:06:48.531000000Z,2025-03-08T20:06:48.531000000Z
9DC704,125,2,,,2025-03-08T20:12:40.145000000Z,2025-03-08T20:12:43.801000000Z
9EAA04,1254,1,,,2025-03-08T20:51:19.827000000Z,2025-03-08T20:51:19.827000000Z
9DC304,789,2,,,2025-03-08T20:12:57.496000000Z,2025-03-08T20:13:01.241000000Z
